,Clase,Barrio,Ubicacion,Descripcion,Precio,Links,fecha_consulta,tipo_prop,operacion,Barrio_vf,localidad,Moneda,precio_efectivo,Precio_vf,Expensas,tdc,precio_en_pesos,ambientes,coords,filtro_coords,Ubicacion_norm,latitud,longitud
7404,"Departamento en Venta en Villa Crespo, Capital Federal","Villa Crespo, Capital Federal",Julian Alvarez al 864,Monoambiente - Apto Profesional - Emprendimiento en Villa Crespo - Entrega 09/2024,USD  72.500,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-1-ambiente--15409025,2024_03_01,Departamento,Venta,Villa Crespo, Capital Federal,Dólares,precio,72500,0,1070,77575000,Monoambiente,"(-34.59752436753454, -58.43122092331807)",False,Alvarez 864,-34.59752436753454,-58.43122092331807
7405,"Departamento en Venta en Nuñez, Capital Federal","Nuñez, Capital Federal",Paroissien al 2300,En Construcción - Monoambiente en Altos de Paroissien,USD  84.000,https://www.argenprop.com/departamento-en-venta-en-nunez-1-ambiente--15409067,2024_03_01,Departamento,Venta,Nuñez, Capital Federal,Dólares,precio,84000,0,1070,89880000,Monoambiente,"(-34.5461066162931, -58.468733727935)",False,Paroissien 2300,-34.5461066162931,-58.468733727935
7406,"Departamento en Venta en Nuñez, Capital Federal","Nuñez, Capital Federal",Paroissien al 2300,En Construcción - Entrega Finales 2023! Monoambiente en Altos de Paroissien,USD  93.000,https://www.argenprop.com/departamento-en-venta-en-nunez-1-ambiente--15409068,2024_03_01,Departamento,Venta,Nuñez, Capital Federal,Dólares,precio,93000,0,1070,99510000,Monoambiente,"(-34.5461066162931, -58.468733727935)",False,Paroissien 2300,-34.5461066162931,-58.468733727935
7407,"Departamento en Venta en Nuñez, Capital Federal","Nuñez, Capital Federal",Paroissien al 2300,En Construcción - Monoambiente en Altos de Paroissien,USD  87.000,https://www.argenprop.com/departamento-en-venta-en-nunez-1-ambiente--15409251,2024_03_01,Departamento,Venta,Nuñez, Capital Federal,Dólares,precio,87000,0,1070,93090000,Monoambiente,"(-34.5461066162931, -58.468733727935)",False,Paroissien 2300,-34.5461066162931,-58.468733727935
7408,"Departamento en Venta en Colegiales, Capital Federal","Colegiales, Capital Federal",Maure 3600,Venta Monoambiente  6to Piso Cuotas Colegiales,USD  97.000,https://www.argenprop.com/departamento-en-venta-en-colegiales-1-ambiente--15409346,2024_03_01,Departamento,Venta,Colegiales, Capital Federal,Dólares,precio,97000,0,1070,103790000,Monoambiente,"(-34.5824078986881, -58.4498103646805)",False,Maure 3600,-34.5824078986881,-58.4498103646805
7409,"Departamento en Venta en Parque Chas, Villa Urquiza","Parque Chas, Villa Urquiza",Andonaegui 1200,Venta Monoambiente a Estrenar Parque Chas,USD  82.000+$20.000expensas,https://www.argenprop.com/departamento-en-venta-en-parque-chas-1-ambiente--14541750,2024_03_01,Departamento,Venta,Parque Chas, Villa Urquiza,Dólares,precio,82000,20000,1070,87740000,Monoambiente,"(-34.5883397438411, -58.4786090246712)",False,Andonaegui 1200,-34.5883397438411,-58.4786090246712
7410,"Departamento en Venta en Caballito, Capital Federal","Caballito, Capital Federal",Carabobo 602,A Estrenar - Monoambiente Divisible en Carabobo al 600,USD  79.000,https://www.argenprop.com/departamento-en-venta-en-caballito-1-ambiente--15409620,2024_03_01,Departamento,Venta,Caballito, Capital Federal,Dólares,precio,79000,0,1070,84530000,Monoambiente,"(-34.633528651297944, -58.453379242018315)",False,Carabobo 602,-34.633528651297944,-58.453379242018315
7411,"Departamento en Venta en Monserrat, Centro","Monserrat, Centro",Solís 800,"Monoambiente en Venta en Montserrat, Inversión",USD  62.000+$4.500expensas,https://www.argenprop.com/departamento-en-venta-en-monserrat-1-ambiente--15409816,2024_03_01,Departamento,Venta,Monserrat, Centro,Dólares,precio,62000,4500,1070,66340000,Monoambiente,"(-34.6180806605401, -58.3903260582202)",False,Solís 800,-34.6180806605401,-58.3903260582202
7412,"Departamento en Venta en Coghlan, Capital Federal","Coghlan, Capital Federal",ROMULO NAON al 3100,"En Venta Monoambiente en Romulo Naon al 3100 , Coghlan",USD  44.000+$14.000expensas,https://www.argenprop.com/departamento-en-venta-en-coghlan-1-ambiente--8248166,2024_03_01,Departamento,Venta,Coghlan, Capital Federal,Dólares,precio,44000,14000,1070,47080000,Monoambiente,"(-34.5609439136343, -58.4780777133381)",False,NAON 3100,-34.5609439136343,-58.4780777133381
7413,"Departamento en Venta en Belgrano, Capital Federal","Belgrano, Capital Federal",ROOSEVELT al 1800,Venta Departamento Monoambiente en Belgrano,USD  84.900+$30.000expensas,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--15072337,2024_03_01,Departamento,Venta,Belgrano, Capital Federal,Dólares,precio,84900,30000,1070,90843000,Monoambiente,"(-34.5540875137659, -58.45504075561)",False,ROOSEVELT 1800,-34.5540875137659,-58.45504075561
